rip_geog,ateco2007,forma_giu,anno,unit_loc,gruppo,PER_tot,PER_dir,PER_qua,PER_imp,PER_ope,DIP_dic13,PER_indet,PER_deter,PER_appre,PER_chiam,DIP_TemPar_tot,DIP_TemPar_indet,DIP_TemPar_term,ORE14,FAT14
2,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco",13,1988,31,1,765,7,30,425,303,754,704,60,1,0,37,35,2,1305662,1305555531
2,Trasporto di merci su strada,13,1979,59,3,763,21,65,672,5,776,664,99,0,0,66,53,13,976640,1135930434
1,Attivit? delle agenzie di viaggio,13,1984,8,1,761,21,75,665,0,794,711,50,0,0,180,173,7,1120392,573334
2,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1992,82,3,758,10,194,554,0,759,711,8,39,0,62,62,0,1108531,135749000
3,Fabbricazione di apparecchiature per illuminazione,13,1963,0,3,755,10,55,360,330,715,502,240,13,0,28,28,0,711000,205000000
2,Fabbricazione di motori a combustione interna (incluse parti e accessori ed esclusi i motori destina,13,1933,7,2,753,16,21,262,454,726,743,2,8,0,35,35,0,1286115,180764963
1,Tessitura,13,1987,3,1,742,16,20,175,531,733,720,22,0,0,79,78,1,1033241,143517220
3,Mense,13,1975,120,3,741,0,7,30,704,715,683,26,32,0,0,0,0,7689123,41458000
1,Fabbricazione di elettrodomestici,13,1988,2,2,734,5,14,119,596,669,719,15,0,0,126,126,0,1137918,201307000
2,Produzione di software non connesso all'edizione,13,1976,3,1,732,14,239,439,40,742,692,0,40,0,93,93,0,1313340,206000000
4,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,2003,2,3,723,2,6,44,671,715,723,0,0,0,22,22,0,119802,45949999
2,Fabbricazione di caldaie per riscaldamento,13,1998,1,2,717,13,21,193,490,731,714,0,3,0,2,2,0,1114000,230000
1,Ristorazione con somministrazione,13,2012,22,3,717,0,3,26,688,519,225,67,1,424,42,34,8,781699,31898298
1,Servizi integrati di gestione agli edifici,13,2007,2,1,712,0,2,20,690,700,712,0,0,0,251,251,0,722819,26570000
2,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1963,0,2,712,23,29,178,482,699,636,72,4,0,10,10,0,1178700,195000000
4,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2010,100,1,711,10,299,402,0,721,705,6,0,0,24,24,0,1066359,223131039
3,Produzione di birra,13,2002,4,2,711,30,80,394,207,749,695,14,2,0,12,12,0,1207452,347860449
2,Confezione in serie di abbigliamento esterno,13,1970,18,2,711,17,27,211,456,776,702,9,0,0,73,73,0,1053871,110906010
2,Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni,13,1976,4,1,710,15,26,259,410,540,636,74,0,0,79,7,72,966419,150420000
3,Fabbricazione di cuscinetti a sfere,13,1972,3,1,707,10,15,202,480,691,694,9,4,0,19,19,0,1090690,109316903
1,Preparazione e filatura di fibre tessili,13,1984,2,3,707,12,15,146,534,765,706,1,0,0,34,34,0,976521,91243107
2,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),13,1980,24,1,706,16,51,382,257,754,693,13,0,0,19,19,0,1213821,156609825
1,Servizi di vigilanza privata,13,1971,4,3,702,1,4,35,662,613,585,112,3,2,34,29,5,1392306,31389894
2,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobi",13,1976,1,2,701,17,10,199,475,701,701,0,0,0,32,32,0,1233700,133000000
2,Pulizia generale (non specializzata) di edifici,13,1983,0,3,700,65,0,15,620,700,658,42,0,0,0,0,0,1232000,13000000
1,Fabbricazione di altri rubinetti e valvole,13,1951,3,1,697,10,3,247,437,702,692,5,0,0,32,30,2,17600,172596390
3,Ipermercati,13,1992,5,1,695,1,3,656,35,689,641,44,10,0,397,361,36,979000,164670000
2,Fabbricazione di elettrodomestici,13,1985,28,1,694,16,15,221,442,685,677,17,0,0,96,96,0,1057505,349326991
1,"Commercio al dettaglio di biancheria personale, maglieria, camicie",13,2001,82,1,693,5,17,613,58,690,407,229,57,0,193,88,105,1028000,133086000
3,Riparazione e manutenzione di apparecchiature elettroniche ed ottiche (escluse quelle per le telecom,13,1978,22,3,693,25,126,520,22,719,667,23,3,0,37,23,14,1062252,145226795
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1992,85,2,691,7,331,348,5,561,678,8,5,0,85,85,0,965189,152175063
1,Pulizia generale (non specializzata) di edifici,13,1997,0,3,690,2,3,20,665,637,656,33,1,0,236,225,11,1204600,29258933
3,Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni,13,1951,0,3,688,77,84,470,57,697,680,8,0,0,7,7,0,1201902,240441000
3,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1992,89,1,685,12,199,455,19,691,657,12,16,0,77,65,12,1025726,211964603
2,Ospedali e case di cura specialistici,13,2004,2,1,684,6,0,643,35,670,631,53,0,0,57,57,0,997000,74218860
4,Pulizia generale (non specializzata) di edifici,13,1979,1,3,681,1,0,8,672,306,637,44,0,0,0,0,0,328650,5656920
1,Servizi di progettazione di ingegneria integrata,13,1961,34,1,680,12,101,567,0,613,639,41,0,0,14,14,0,993387,74887651
1,Fusione di altri metalli non ferrosi,13,1984,6,1,679,7,3,208,461,680,635,37,7,0,24,24,0,1121833,124742797
3,"Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le t",13,1989,36,1,675,1,6,623,45,662,642,32,1,0,204,184,20,421920,216000000
4,Attività dei call center,13,2001,5,1,674,0,1,641,32,576,620,22,32,0,311,289,22,943488,28450718
4,"Produzione di piombo, zinco e stagno e semilavorati",13,1999,2,2,673,8,79,178,408,705,649,21,3,0,2,2,0,7027741,472096
1,Trasporto di merci su strada,13,1984,15,1,673,11,9,142,511,612,595,62,16,0,2,2,0,1283531,181252837
1,Catering continuativo su base contrattuale,13,1970,4,1,671,2,4,40,625,721,654,12,5,0,574,565,9,616521,32061626
3,Fabbricazione di pneumatici e di camere d'aria,13,1999,0,2,670,22,77,92,479,580,590,71,9,0,1,1,0,1179890,178300705
2,Installazione di impianti elettrici ed elettronici (inclusa manutenzione e riparazione),13,2005,4,1,670,16,24,237,393,748,599,60,11,0,24,24,0,1158848,17217000
3,Produzione di software non connesso all'edizione,13,1987,10,1,668,28,33,592,15,562,633,31,4,0,54,54,0,915675,85727301
2,Fabbricazione di altri articoli metallici e minuteria metallica,13,1972,2,2,665,6,1,140,518,1069,541,114,10,0,120,114,6,645339,91893636
1,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",13,1959,3,3,662,14,17,149,482,675,658,3,1,0,23,23,0,256380,104600000
1,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",13,1968,2,1,661,12,59,262,328,690,647,0,14,0,11,11,0,527118,151914542
2,"Costruzione di materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per minie",13,1964,5,2,661,11,15,413,222,730,623,29,9,0,14,11,3,107410,150042167
2,Fabbricazione di medicinali e preparati farmaceutici,13,1973,4,1,658,30,136,374,118,622,637,21,0,0,658,637,21,1015852,331828860
4,Commercio al dettaglio di materiale per ottica e fotografia,13,1962,100,2,657,4,17,636,0,680,589,68,0,0,146,117,29,1020696,104000000
1,Tessitura,13,1967,1,3,655,4,4,53,594,630,600,55,0,0,0,0,0,995531,109719588
1,"Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera",13,1951,2,1,655,23,54,169,409,655,634,21,0,0,17,17,0,1175538,716734375
4,"Raccolta, trattamento e fornitura di acqua",13,2000,18,1,653,9,16,367,261,667,653,0,0,0,1,1,0,1073701,176600416
1,Commercio all'ingrosso di altri prodotti alimentari,13,2001,18,1,652,9,22,171,450,638,597,47,8,0,115,103,12,1026765,356730273
4,Pulizia generale (non specializzata) di edifici,13,2001,240,3,650,0,0,6,644,479,644,6,0,0,616,610,6,342829,6600000
2,Collaudi e analisi tecniche di prodotti,13,1981,3,2,650,0,10,630,10,650,600,50,0,0,75,75,0,1358965,46857522
3,Commercio al dettaglio di libri nuovi in esercizi specializzati,13,1988,168,1,649,2,6,641,0,584,448,200,0,1,39,12,27,165068,100629919
1,"Raccolta, trattamento e fornitura di acqua",13,2003,26,1,648,0,16,357,275,771,626,21,1,0,22,22,0,1015058,131542973
2,"Gestione di strade, ponti, gallerie",13,1928,5,3,647,7,23,559,58,664,646,1,0,0,88,88,0,1078614,180014047
4,Silvicoltura e altre attivit? forestali,13,2001,30,3,644,1,7,238,398,655,644,0,0,0,46,46,0,920235,20370587
2,Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi),13,1976,1,1,644,7,0,198,439,654,614,30,0,0,16,16,0,1004626,240169837
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1994,121,1,643,3,213,383,44,718,598,1,44,0,75,75,0,1072911,212698973
3,Attività delle holding impegnate nelle attività gestionali (holding operative),13,1997,1,1,640,61,147,410,22,666,639,0,1,0,12,12,0,965421,186384288
3,Fabbricazione di medicinali e preparati farmaceutici,13,1996,2,2,636,35,189,348,64,562,592,44,0,0,16,16,0,1084302,1491214558
3,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa,13,2001,6,1,634,3,13,132,486,566,599,35,0,0,5,5,0,250000,336068
1,Commercio al dettaglio di altri prodotti non alimentari nca,13,1995,146,3,631,0,7,51,573,450,467,164,0,0,36,32,4,864377,112146974
1,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",13,1965,8,1,630,10,22,145,453,656,624,6,0,0,18,18,0,1076399,121284485
4,Commercio all'ingrosso di altri prodotti alimentari,13,2000,28,1,627,0,0,525,102,632,622,5,0,0,166,164,2,921627,249551216
2,Mense,13,1975,0,1,627,3,7,39,578,562,620,5,2,0,485,480,5,722237,28365837
2,Confezione in serie di abbigliamento esterno,13,1978,31,1,623,35,56,508,24,725,572,51,0,0,40,38,2,1200000,382256914
2,Pulizia generale (non specializzata) di edifici,13,2009,0,3,620,0,0,20,600,446,501,117,2,0,579,467,112,930000,8832838
3,"Raccolta, trattamento e fornitura di acqua",13,2000,28,1,618,4,21,330,263,636,618,0,0,0,22,22,0,1037457,210132574
2,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbrica,13,1961,3,1,615,13,10,175,417,599,569,46,0,0,69,66,3,984671,161714946
3,Raccolta di rifiuti solidi non pericolosi,13,1980,10,1,614,6,5,82,521,918,597,15,2,0,35,25,10,1367928,102205977
1,Fabbricazione di altri prodotti in gomma,13,1974,2,2,614,11,53,61,489,621,612,1,1,0,1,1,0,955912,80576100
1,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessi",13,1948,0,1,612,5,2,165,440,552,609,3,0,0,15,15,0,960508,62894079
4,Raccolta di rifiuti solidi non pericolosi,13,1984,10,3,609,0,0,37,572,600,559,50,0,0,50,45,5,241108,45000000
1,Fabbricazione di gas industriali,13,1927,22,1,609,23,30,343,213,567,605,4,0,0,12,11,1,980520,205448742
2,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico,13,1980,22,1,607,6,19,365,217,506,600,5,2,0,47,46,1,854320,170000000
2,Fabbricazione di caldaie per riscaldamento,13,1964,10,1,607,13,53,214,327,611,603,1,3,0,65,65,0,903705,200000000
2,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,13,1960,0,3,606,2,28,216,360,598,600,4,2,0,37,37,0,934143,83339589
1,Fabbricazione di armi e munizioni,13,1976,0,3,605,4,18,72,511,494,487,118,0,0,20,20,0,888657,106853889
1,Fabbricazione di mobili per arredo domestico,13,1970,6,3,601,7,7,186,401,577,583,18,0,0,4,4,0,1069325,128000000
1,Fabbricazione di altre macchine per impieghi speciali nca (incluse parti e accessori),13,1957,10,1,598,19,21,267,291,746,592,6,0,0,30,30,0,950000,121233563
3,Fabbricazione di componenti elettronici,13,2007,1,3,596,13,12,310,261,629,596,0,0,0,33,33,0,1039736,326540
1,Edizione di quotidiani,13,1974,25,1,595,33,80,341,141,594,575,15,5,0,28,28,0,949814,216000000
4,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",13,1993,3,1,595,7,20,211,357,599,523,72,0,0,7,7,0,1085125,49616179
1,Pulizia generale (non specializzata) di edifici,13,1980,17,3,588,3,0,22,563,783,568,20,0,0,520,503,17,885690,19750752
2,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,13,1997,0,1,586,10,8,212,356,488,500,86,0,0,25,25,0,1000000,1100000
1,Commercio all'ingrosso di altre macchine e attrezzature per ufficio,13,1961,12,2,583,15,94,474,0,648,579,4,0,0,12,12,0,1082000,200502998
2,"Gestione di strade, ponti, gallerie",13,2006,41,1,582,5,23,464,90,623,582,0,0,0,68,68,0,91362332,320565404
1,Altre attività di intrattenimento e di divertimento nca,13,1986,1,1,580,1,1,18,560,665,20,560,0,0,1,1,0,1380000,23792997
4,Pulizia generale (non specializzata) di edifici,13,2012,1,3,575,0,0,7,568,525,539,36,0,0,545,511,34,527084,8737587
4,Raccolta di rifiuti solidi non pericolosi,13,1997,12,3,575,0,0,44,531,618,525,50,0,0,70,43,27,189117,3837967400
1,Ospedali e case di cura generici,13,1913,1,1,573,0,0,417,156,566,563,9,1,0,84,82,2,849124,67117567
2,Confezione in serie di abbigliamento esterno,13,1977,61,1,571,13,30,435,93,623,538,33,0,0,62,61,1,970426,153200342
1,Commercio al dettaglio di calzature e accessori,13,2007,66,3,570,2,0,568,0,542,370,200,0,0,0,0,0,103200,70000000
2,Raccolta di rifiuti solidi non pericolosi,13,1983,0,1,567,5,7,64,491,598,521,46,0,0,0,0,0,917165,61601608
2,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",13,1986,4,3,566,20,25,203,318,560,500,62,4,0,157,157,0,869913,450000000
2,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici",13,1985,6,1,565,17,53,275,220,566,550,15,0,0,46,46,0,910000,10092368
3,Fabbricazione di mobili per cucina,13,1979,8,1,565,11,13,205,336,564,542,15,8,0,29,29,0,927521,172872658
2,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",13,1967,32,1,564,15,22,138,389,538,500,18,46,0,11,11,0,1000055,116000000
2,Fabbricazione di medicinali e preparati farmaceutici,13,1946,1,1,559,19,78,319,143,492,510,49,0,0,10,10,0,809718,154671776
3,Produzione di alluminio e semilavorati,13,1982,1,3,559,0,4,105,450,503,422,136,0,1,14,13,1,867712,37427000
4,Catering continuativo su base contrattuale,13,2001,7,3,556,0,0,18,538,437,544,9,3,0,463,454,9,331277,27221456
3,"Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia",13,1989,132,1,556,0,2,40,514,511,396,158,0,2,184,153,31,850341,116385406
3,Fabbricazione di calzature,13,1975,1,1,556,6,26,160,364,548,459,51,45,1,9,9,0,1101773,223283184
1,Gelaterie e pasticcerie,13,2003,65,1,555,3,4,26,522,410,272,15,104,164,186,176,10,551046,24448689
2,Fabbricazione di vetro cavo,13,1994,3,3,554,7,13,118,416,540,539,15,0,0,0,0,0,874631,136741213
2,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1971,11,3,554,6,9,75,464,539,530,24,0,0,39,28,11,938937,8514055
2,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),13,1997,151,1,553,0,22,531,0,457,442,111,0,0,42,32,10,853600,364576726
2,Ospedali e case di cura generici,13,1972,3,1,552,0,2,357,193,526,487,51,8,6,135,119,16,785956,49965558
2,Pulizia generale (non specializzata) di edifici,13,1997,0,1,548,0,0,8,540,428,480,68,0,0,505,438,67,351146,7271314
2,Fabbricazione di parti e accessori di mobili,13,1984,1,3,548,8,9,58,473,548,548,0,0,0,0,0,0,935080,169618679
1,Produzione di alluminio e semilavorati,13,1956,1,3,547,8,13,127,399,575,542,1,4,0,23,23,0,885229,159686684
1,"Fabbricazione di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di pr",13,1976,19,1,545,19,46,277,203,588,540,5,0,0,26,25,1,903000,129627000
2,Pulizia generale (non specializzata) di edifici,13,1985,0,3,542,0,0,9,533,512,481,60,1,0,533,473,60,252223,4900000
4,Commercio al dettaglio di altri prodotti non alimentari nca,13,2008,57,1,541,0,2,19,520,249,209,154,178,0,20,4,16,779330,72706057
1,Fabbricazione di fibre sintetiche e artificiali,13,1965,1,1,541,21,31,139,350,488,534,7,0,0,21,21,0,823037,597197572
4,Attività dei servizi connessi al trasporto aereo,13,2000,1,1,538,0,3,227,308,441,537,1,0,0,230,230,0,613489,19598000
3,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,13,2012,4,1,537,13,28,496,0,537,529,8,0,0,293,288,5,92360,47493162
4,Supermercati,13,1990,29,1,537,0,0,38,499,531,524,2,5,6,152,152,0,1104480,114423551
3,"Attività riguardanti le lotterie, le scommesse, le case da gioco",13,1906,9,1,536,23,38,462,13,536,501,31,4,0,84,64,20,133226,511158837
4,Pulizia generale (non specializzata) di edifici,13,1994,1,3,535,0,1,5,529,471,480,54,1,0,500,450,50,280000,4446000
1,Altri lavori di completamento e di finitura degli edifici,13,1987,35,2,535,5,12,83,435,521,518,17,0,0,10,10,0,807007,113575670
1,Attività delle concessionarie pubblicitarie,13,1979,10,1,534,65,215,254,0,548,534,0,0,0,25,25,0,991000,1611590466
3,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1956,10,1,533,25,292,216,0,544,513,20,0,0,27,27,0,956037,714893237
2,Trasporto di merci su strada,13,1983,18,2,533,21,40,447,25,371,472,49,12,0,15,13,2,812784,188554428
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2006,21,2,532,10,141,381,0,534,531,1,0,0,18,18,0,850000,381887588
1,Fabbricazione di batterie di pile ed accumulatori elettrici,13,1988,2,2,532,11,36,95,390,561,519,13,0,0,10,8,2,1012906,233591443
1,Attività delle società di revisione e certificazione di bilanci,13,2015,16,2,532,43,64,356,69,238,441,23,68,0,32,32,0,517393,23964041
4,Riparazione e manutenzione di aeromobili e di veicoli spaziali,13,1989,1,1,531,1,23,175,332,586,531,0,0,0,0,0,0,611215,30704000
2,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,13,1971,2,1,531,21,27,156,327,538,529,2,0,0,23,23,0,845107,146300000
3,Supermercati,13,1969,0,3,531,2,3,198,328,531,351,66,114,0,31,31,0,161403,121864244
1,Pulizia generale (non specializzata) di edifici,13,1993,2,3,530,0,1,35,494,171,510,16,2,2,0,0,0,226100,4379966
1,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,13,1979,5,1,529,9,10,204,306,527,515,2,12,0,30,30,0,847011,88763833
2,Trasporto aereo di linea di passeggeri,13,1987,0,2,527,4,9,483,31,556,493,34,0,0,48,48,0,592105,156405408
1,Commercio all'ingrosso di articoli sportivi (incluse le biciclette),13,2001,22,2,525,12,62,449,2,558,452,73,0,0,106,85,21,811721,291582399
1,Fabbricazione di prodotti farmaceutici di base,13,1982,5,2,523,23,72,250,178,537,523,0,0,0,5,5,0,9890000,1879743991
1,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobi",13,1950,2,1,520,12,0,89,419,504,514,6,0,0,9,9,0,789857,115196554
1,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbrica,13,2003,1,1,520,6,5,58,451,552,496,5,19,0,10,10,0,937326,81391110
3,Servizi di progettazione di ingegneria integrata,13,2001,8,1,516,7,45,464,0,555,498,18,0,0,24,22,2,660276,30588257
3,Fabbricazione di poltrone e divani,13,1986,4,2,514,16,25,153,320,449,462,46,6,0,19,19,0,805933,160667000
1,"Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video",13,1991,1,2,510,45,183,282,0,532,459,51,0,0,18,18,0,723251,2897195843
1,"Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili",13,1975,3,3,509,10,13,91,395,284,483,26,0,0,35,35,0,492379,86166206
1,Produzione di pasticceria fresca,13,1982,3,1,507,11,11,139,346,571,504,3,0,0,79,78,1,718908,101900000
4,Attività delle lavanderie industriali,13,1981,0,3,507,0,0,0,507,520,507,0,0,0,0,0,0,894348,29179318
1,Fabbricazione di medicinali e preparati farmaceutici,13,1995,2,2,506,8,39,219,240,495,460,45,1,0,6,6,0,774942,547770166
1,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",13,1979,12,1,506,17,21,97,371,437,494,11,1,0,49,44,5,729955,162472246
3,Altre attività di pulizia,13,2009,0,3,504,0,2,5,497,509,458,46,0,0,410,377,33,9077,10638788
2,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino",13,1994,1,2,503,6,50,114,333,679,450,53,0,0,10,10,0,720000,316000000
4,Fabbricazione di imballaggi in materie plastiche,13,1979,2,2,503,14,16,167,306,488,491,1,11,0,9,9,0,870000,150450000
1,Attività dei call center,13,1998,3,2,502,1,0,499,2,1616,492,0,10,0,411,411,0,2273302,92406506
2,Bar e altri esercizi simili senza cucina,13,1993,52,3,500,0,3,18,479,70,410,90,0,0,60,40,20,850000,35000000
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1912,60,3,500,12,200,288,0,487,493,5,2,0,31,31,0,757500,83701000
1,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli pre,13,1956,1,2,500,4,9,103,384,537,500,0,0,0,9,9,0,878653,42441000
2,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1975,0,2,498,6,9,58,425,489,496,2,0,0,5,5,0,967604,127000000
1,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",13,1984,7,1,496,6,19,416,55,413,379,62,0,55,41,40,1,750593,86256962
1,Finissaggio dei tessili,13,1979,1,1,494,13,34,230,217,517,466,12,16,0,49,49,0,826154,1536547
2,Fabbricazione di mobili per cucina,13,1959,3,1,494,1,8,66,419,486,491,1,2,0,16,15,1,80128200,133079977
2,Confezione in serie di abbigliamento esterno,13,1976,4,1,493,24,40,348,81,461,493,0,0,0,24,24,0,791409,310586677
1,Ospedali e case di cura generici,13,1956,2,1,493,1,0,399,93,468,460,33,0,0,50,45,5,683007,58721257
3,"Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per",13,1971,4,1,492,50,169,256,17,644,490,2,0,0,12,12,0,958933,5126000000
1,Intermediari dei trasporti,13,1975,19,3,490,19,44,405,22,475,466,20,4,0,16,15,1,1159344,238000000
1,Preparazione e filatura di fibre tessili,13,1979,2,1,490,0,6,50,434,480,466,23,0,1,2,2,0,878728,222522786
1,Supermercati,13,1971,37,3,489,3,6,60,420,537,482,7,0,0,252,249,3,978000,86960000
4,Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca,13,1986,1,1,488,20,24,330,114,497,475,0,13,0,2,2,0,832466,179471987
1,Intermediari dei trasporti,13,1992,20,2,487,12,75,380,20,463,453,25,9,0,14,14,0,409592,75093658
4,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1990,4,3,487,9,6,84,388,460,472,11,4,0,5,5,0,625328,121777000
2,Fabbricazione di calzature,13,1998,13,1,485,31,88,359,7,552,469,16,0,0,14,14,0,664580,559356766
2,Fabbricazione di carta e cartone,13,1958,2,2,485,10,22,101,352,502,483,2,0,0,9,9,0,813349,274000000
1,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,13,1956,4,3,485,22,146,291,26,513,479,1,5,0,14,14,0,785806,90000000
4,Fusione di acciaio,13,1990,0,2,484,3,18,93,370,425,419,22,43,0,93,71,22,723696,53813672
1,Commercio all'ingrosso di parti e accessori di autoveicoli,13,1986,6,1,483,7,15,113,348,499,477,6,0,0,20,20,0,723897,106770000
1,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),13,1961,0,2,483,11,41,186,245,474,444,39,0,0,8,8,0,757385,419264640
1,Fabbricazione di carta e cartone,13,1966,6,1,482,12,13,134,323,608,479,2,1,0,2,2,0,1088929,208818421
4,Villaggi turistici,13,2013,0,2,476,4,11,140,321,33,34,442,0,0,0,0,0,58955548,52291017
3,Fabbricazione di prodotti farmaceutici di base,13,2008,1,2,475,6,25,125,319,427,448,20,7,0,20,19,1,700168,69357880
4,Pulizia generale (non specializzata) di edifici,13,2013,30,3,474,0,3,9,462,277,460,14,0,0,416,404,12,378911,6560116
3,"Raccolta, trattamento e fornitura di acqua",13,2005,5,3,472,4,9,184,275,474,453,19,0,0,13,13,0,781562,80290953
1,Fabbricazione di altri prodotti chimici di base inorganici,13,1996,4,2,472,18,64,230,160,629,470,2,0,0,9,9,0,1150842,325056447
1,Commercio all'ingrosso di articoli medicali ed ortopedici,13,1983,1,2,471,25,100,346,0,458,448,23,0,0,10,10,0,759624,384954745
2,Commercio al dettaglio di confezioni per adulti,13,1994,16,1,471,0,0,439,32,462,451,8,6,6,62,62,0,682629,80867520
1,Installazione di macchine ed apparecchiature industriali,13,1982,18,3,470,6,9,224,231,538,432,38,0,0,11,7,4,739714,106731219
3,"Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per tolett",13,1999,1,2,468,11,34,59,364,475,468,0,0,0,21,21,0,922370,64965918
1,Tessitura,13,1979,0,1,468,8,4,74,382,459,452,10,6,0,23,22,1,884676,79752930
1,Fabbricazione di altri prodotti in gomma,13,1963,1,2,465,8,42,108,307,419,464,0,1,0,18,18,0,751600,92404382
1,Fabbricazione di prodotti farmaceutici di base,13,1977,1,1,463,26,83,168,186,477,459,2,2,0,16,16,0,97301,130427486
1,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",13,1987,5,1,461,2,16,114,329,425,391,70,0,0,10,10,0,771205,106342527
3,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo),13,1972,9,1,461,11,10,136,304,435,405,43,13,0,59,56,3,500000,150000000
2,Altra stampa,13,2011,0,2,460,0,9,131,320,310,312,68,80,0,6,6,0,191000,82000000
1,Produzione di rame e semilavorati,13,1947,4,3,459,10,3,124,322,462,454,5,0,0,0,0,0,775128,502
